unidade;ano;mes;case_mix;case_mix_clinico;case_mix_cirurgico
HAC;2022;1;1,3632;1,1603;2,0555
HAC;2022;2;1,3801;1,2739;1,5606
HAC;2022;3;1,7145;1,1983;2,4921
HAC;2022;4;1,683;1,0697;2,7937000000000003
HAC;2022;5;1,5239;1,094;2,41
HAC;2022;6;1,1626;1,0133;1,4772
HAC;2022;7;1,2778;1,048;1,7579
HAC;2022;8;1,4365;1,093;1,9762
HAC;2022;9;1,5625;1,106;2,3679
HAC;2022;10;1,9975;1,0917;3,1733
HAC;2022;11;1,9395000000000002;1,1696;3,2925
HAC;2022;12;1,7617;1,1156;3,0939
HAC;2023;1;1,5003;1,1214;2,3047
HAC;2023;2;2,0992;1,2543;3,4049
HAC;2023;3;1,451;1,1379;1,8091999999999997
HAC;2023;4;1,4924;1,1341;1,9636
HAC;2023;5;1,4607;1,0421;2,0289
HAC;2023;6;1,4708;1,094;1,9904999999999997
HAC;2023;7;1,6258;1,1581;2,239
HAC;2023;8;1,7755;1,2547;2,4233
HAC;2023;9;1,5126;1,1339;2,0105
HAC;2023;10;1,4529;1,1911;1,7903
HAC;2023;11;1,7382;1,2919;2,4077
HAC;2023;12;1,6005;1,243;2,0638
HAC;2024;1;1,6779;1,2555;2,4007
HAC;2024;2;1,4807;1,0182;2,3766
HAC;2024;3;1,6444;1,2864;2,0391
HAC;2024;4;1,4763;1,0841;2,0785
HAC;2024;5;1,5944;1,2978;2,0415
HAC;2024;6;1,3523;1,1276;1,6564
HAC;2024;7;1,4607;1,1995;1,8881999999999999
HAC;2024;8;1,308;1,2168;1,5781999999999998
HAC;2024;9;1,5861;1,2652;1,9273
HAC;2024;10;1,4426;1,3206;1,5766
HAC;2024;11;1,4616;1,2812;1,6732000000000002
HAC;2024;12;1,432;1,2707;1,6057
HAC;2025;1;1,4712;1,2628;1,7648000000000001
HAC;2025;2;1,4255;1,216;1,7878
HAC;2025;3;1,468;1,3038;1,6301
HAC;2025;4;1,4465;1,3026;1,6339000000000001
HAC;2025;5;1,6608999999999998;1,3122;2,0827
HAC;2025;6;1,6198;1,348;2,003
HAC;2025;7;1,458;1,1825;1,8649000000000002
HAC;2025;8;1,551;1,3291;1,7959
HAC;2025;9;1,4527;1,2582;1,6653999999999998
HAC;2025;10;1,5633;1,2622;1,9540999999999997
HAC;2025;11;1,4919;1,1545;2,0346
HAC;2025;12;1,3054;1,1173;1,6629
HEM;2022;1;2,0094;1,6841;8,3525
HEM;2022;2;3,6905;2,0516;12,8216
HEM;2022;3;2,6345;1,7636;7,218
HEM;2022;4;2,062;1,7088;5,2706
HEM;2022;5;1,9186;1,3632;6,7322
HEM;2022;6;2,0594;1,6802000000000001;6,3938
HEM;2022;7;2,1586;1,7152000000000003;4,7085
HEM;2022;8;1,6136;1,4123;4,1391
HEM;2022;9;1,5652000000000001;1,4205;4,767
HEM;2022;10;1,4952;1,4816;2,2093
HEM;2022;11;1,7753;1,5827;6,4258999999999995
HEM;2022;12;1,9029;1,6838;6,5052
HEM;2023;1;1,5787;1,37;5,0796
HEM;2023;2;1,8614;1,4548;10,2838
HEM;2023;3;1,6684;1,4557;5,7625
HEM;2023;4;1,5757;1,2561;4,2329
HEM;2023;5;2,0183;1,4343;8,4908
HEM;2023;6;1,6662999999999997;1,3507;6,464
HEM;2023;7;1,9485;1,676;6,1387
HEM;2023;8;2,0987;1,5979;7,5739
HEM;2023;9;1,9556999999999998;1,5682;4,4308
HEM;2023;10;2,331;1,6158;7,4802
HEM;2023;11;1,7166;1,6399;3,3151
HEM;2023;12;1,6558;1,3897;3,7669
HEM;2024;1;0,9939;0,8929;5,0663
HEM;2024;2;0,7142;0,6427;3,3293999999999997
HEM;2024;3;0,8823;0,6239;9,6255
HEM;2024;4;0,8289;0,7365;3,8798999999999997
HEM;2024;5;1,113;0,933;5,5393
HEM;2024;6;1,7365;1,3431;4,4154
HEM;2024;7;1,6022;1,5492;4,3396
HEM;2024;8;2,0382;1,3891;9,4146
HEM;2024;9;2,2471;1,4674;8,6219
HEM;2024;10;1,7967000000000002;1,6816;4,0496
HEM;2024;11;2,1593;1,676;9,6232
HEM;2024;12;1,8868000000000003;1,7463;5,7661
HEM;2025;1;1,7828;1,6304;5,958
HEM;2025;2;2,1298;1,5774;6,1348
HEM;2025;3;2,4183;1,5765;8,2273
HEM;2025;4;1,9123;1,6139000000000001;4,8029
HEM;2025;5;1,687;1,3349;4,4683
HEM;2025;6;2,0131;1,8236999999999999;5,4923
HEM;2025;7;1,854;1,7276;3,5168
HEM;2025;8;2,1895;1,7318;6,4523
HEM;2025;9;2,0307;1,7659000000000002;4,3301
HEM;2025;10;2,2544;1,5506;9,541
HEM;2025;11;2,1646;1,5911;8,9509
HEM;2025;12;1,6945;1,5062999999999998;4,7065
HIJPII;2022;1;1,0551;1,0526;1,5062
HIJPII;2022;2;1,0621;1,0439;2,9941
HIJPII;2022;3;1,0516;1,0336;2,5023
HIJPII;2022;4;1,0001;0,9783999999999999;1,9496
HIJPII;2022;5;1,4766;1,1903;15,648200000000001
HIJPII;2022;6;1,0939;1,0361;3,0701
HIJPII;2022;7;1,2916;1,2494;3,0220000000000002
HIJPII;2022;8;1,2714;1,0682;11,8692
HIJPII;2022;9;1,2467;1,0391;7,93
HIJPII;2022;10;1,0482;1,0122;2,1872
HIJPII;2022;11;1,0492;0,9834;4,4134
HIJPII;2022;12;1,2296;1,0807;11,3259
HIJPII;2023;1;1,2607;1,249;2,4439
HIJPII;2023;2;1,3642;1,2177;11,4458
HIJPII;2023;3;1,5298;1,0828;16,0717
HIJPII;2023;4;1,1073;1,0404;3,9497999999999998
HIJPII;2023;5;1,0602;0,9543;4,1891
HIJPII;2023;6;1,3539999999999999;1,1419;6,1196
HIJPII;2023;7;1,3968;1,12;11,524099999999999
HIJPII;2023;8;1,2923;1,2024;4,9386
HIJPII;2023;9;1,0856;1,0075;7,0941
HIJPII;2023;10;1,2621;1,12;6,123000000000001
HIJPII;2023;11;1,1758;1,1372;4,2514
HIJPII;2023;12;1,3092;1,1785;5,3747
HIJPII;2024;1;1,5447;1,0471;16,7723
HIJPII;2024;2;1,087;0,9191999999999999;9,4762
HIJPII;2024;3;0,895;0,8609999999999999;4,9856
HIJPII;2024;4;1,0757;1,0657;2,2832
HIJPII;2024;5;1,2897;1,1104;12,2689
HIJPII;2024;6;1,3664;1,1552;8,8543
HIJPII;2024;7;1,2186;1,101;4,62
HIJPII;2024;8;1,2691;1,1502;6,355400000000001
HIJPII;2024;9;1,0383;1,0241;2,4086
HIJPII;2024;10;1,1085;1,0399;5,423400000000001
HIJPII;2024;11;1,078;1,0673;2,0095
HIJPII;2024;12;1,094;1,0421;3,6796
HIJPII;2025;1;0,9469;0,9294000000000001;2,4393
HIJPII;2025;2;0,9522;0,9474999999999999;2,5966
HIJPII;2025;3;0,9521;0,9453;2,4594
HIJPII;2025;4;1,0408;1,0219;2,3776
HIJPII;2025;5;1,1001;1,0918;2,2049
HIJPII;2025;6;1,0804;1,0235;4,7328
HIJPII;2025;7;1,1061;1,0671;8,4651
HIJPII;2025;8;0,9879999999999999;0,9829000000000001;2,5966
HIJPII;2025;9;1,1752;1,0016;18,3637
HIJPII;2025;10;0,949;0,9132999999999999;4,803
HIJPII;2025;11;1,0879;0,9936000000000001;11,3654
HIJPII;2025;12;1,4215;0,8932;25,9872
HJK;2022;1;0,9518;1,0179;0,7756
HJK;2022;2;1,1564;1,3195;0,7536
HJK;2022;3;0,9364;0,9866;0,8276
HJK;2022;4;0,8678999999999999;0,9072;0,7805
HJK;2022;5;0,8958999999999999;0,9775;0,6924
HJK;2022;6;0,9723;1,0619;0,7703
HJK;2022;7;1,0585;1,03;1,1313
HJK;2022;8;0,9117;0,9729;0,7388999999999999
HJK;2022;9;0,7785;0,7904;0,7454
HJK;2022;10;0,9848;0,9429999999999998;1,1073
HJK;2022;11;0,9622;0,9524;0,9906999999999999
HJK;2022;12;0,8933;0,8916;0,898
HJK;2023;1;0,9938;0,9875;1,015
HJK;2023;2;1,0999;1,0573;1,2241
HJK;2023;3;1,1257;1,059;1,3502
HJK;2023;4;1,0003;0,9777;1,065
HJK;2023;5;1,1068;1,0452;1,2624
HJK;2023;6;1,0865;1,0864;1,0866
HJK;2023;7;0,9759;1,012;0,8767
HJK;2023;8;1,0512;0,9771;1,2261
HJK;2023;9;1,0577;1,0538;1,0668
HJK;2023;10;0,9749999999999999;1,023;0,844
HJK;2023;11;1,0082;1,0234;0,9658
HJK;2023;12;1,0295;1,0121;1,0818
HJK;2024;1;0,8747999999999999;0,8843;0,8473
HJK;2024;2;0,8628;0,8976;0,7472
HJK;2024;3;0,8724000000000001;0,8471;0,9664
HJK;2024;4;1,1091;0,9769999999999999;1,548
HJK;2024;5;1,0685;1,0624;1,0879
HJK;2024;6;1,0423;1,055;1,0059
HJK;2024;7;1,1042;1,1433;0,997
HJK;2024;8;1,1225;1,2125;0,8637
HJK;2024;9;1,211;1,2259;1,1706
HJK;2024;10;1,2477;1,2707;1,1864
HJK;2024;11;1,1499;1,124;1,2174
HJK;2024;12;1,2698;1,2463;1,3433
HJK;2025;1;1,0691;1,1182;0,9217
HJK;2025;2;1,0792;1,1196;0,9732
HJK;2025;3;1,206;1,2261;1,1556
HJK;2025;4;1,1215;1,2033;0,9053999999999999
HJK;2025;5;1,1618;1,2195;1,0292
HJK;2025;6;0,6436;0,7146;0,6223
HJK;2025;7;1,3216;1,4162;1,0507
HJK;2025;8;1,2192;1,3245;0,9146
HJK;2025;9;1,1126;1,1676;0,9689
HJK;2025;10;1,2248;1,3066;1,0225
HJK;2025;11;1,3225;1,3918;1,1325
HJK;2025;12;1,1905;1,2286;1,0868
HJXXIII;2022;1;1,4053;0,9268999999999998;2,2569
HJXXIII;2022;2;1,4612;0,9914000000000001;2,5041
HJXXIII;2022;3;1,4158;0,9114;2,2493
HJXXIII;2022;4;1,4791999999999998;0,8913;2,5079
HJXXIII;2022;5;1,4763;0,8796;2,5435
HJXXIII;2022;6;1,4381;0,8842;2,472
HJXXIII;2022;7;1,6324;0,9243;2,7777
HJXXIII;2022;8;1,5557;0,9234;2,5922
HJXXIII;2022;9;1,599;0,8913;2,8519
HJXXIII;2022;10;1,499;0,8719999999999999;2,6345
HJXXIII;2022;11;1,484;0,8979;2,7833
